"Date","Price","Open","High","Low","Vol.","Change %"
"05/22/2023","1,292.80","1,272.95","1,295.60","1,270.25","7.63M","1.88%"
"05/19/2023","1,268.90","1,256.05","1,273.30","1,252.80","11.09M","1.84%"
"05/18/2023","1,246.00","1,258.60","1,259.65","1,242.45","6.95M","-0.07%"
"05/17/2023","1,246.90","1,260.60","1,260.95","1,242.45","10.47M","-1.38%"
"05/16/2023","1,264.30","1,265.00","1,273.95","1,262.75","5.24M","0.47%"
"05/15/2023","1,258.35","1,249.90","1,268.90","1,245.65","5.53M","1.06%"
"05/12/2023","1,245.20","1,253.35","1,256.00","1,239.05","8.29M","-0.87%"
"05/11/2023","1,256.10","1,270.25","1,275.90","1,253.05","6.89M","-0.57%"
"05/10/2023","1,263.25","1,276.40","1,276.40","1,259.15","6.52M","-0.59%"
"05/09/2023","1,270.70","1,266.00","1,272.00","1,260.70","4.97M","0.40%"
"05/08/2023","1,265.60","1,262.45","1,270.30","1,255.20","5.26M","0.52%"
"05/05/2023","1,259.10","1,279.00","1,279.00","1,254.25","5.37M","-1.13%"
"05/04/2023","1,273.55","1,268.95","1,275.80","1,262.50","4.51M","0.35%"
"05/03/2023","1,269.15","1,266.00","1,272.50","1,262.10","5.55M","-0.65%"
"05/02/2023","1,277.45","1,254.55","1,279.75","1,254.55","8.89M","1.97%"
"04/28/2023","1,252.75","1,255.70","1,259.00","1,244.95","10.12M","0.52%"
"04/27/2023","1,246.25","1,230.00","1,247.80","1,225.40","8.02M","1.52%"
"04/26/2023","1,227.55","1,228.00","1,233.00","1,220.55","5.68M","0.22%"
"04/25/2023","1,224.90","1,225.95","1,235.50","1,215.00","6.81M","-0.11%"
"04/24/2023","1,226.30","1,228.00","1,230.00","1,218.00","8.31M","-0.09%"
"04/21/2023","1,227.35","1,228.10","1,233.25","1,220.00","8.69M","0.32%"
"04/20/2023","1,223.40","1,230.70","1,237.85","1,221.40","8.62M","-0.71%"
"04/19/2023","1,232.20","1,254.35","1,254.35","1,229.40","11.31M","-2.16%"
"04/18/2023","1,259.35","1,269.95","1,269.95","1,253.10","12.43M","0.08%"
"04/17/2023","1,258.30","1,250.30","1,261.15","1,185.30","53.17M","-9.42%"
"04/13/2023","1,389.20","1,409.75","1,411.05","1,383.00","11.27M","-2.74%"
"04/12/2023","1,428.30","1,413.05","1,431.50","1,400.00","5.83M","1.58%"
"04/11/2023","1,406.15","1,428.90","1,433.35","1,389.00","6.94M","-1.50%"
"04/10/2023","1,427.60","1,423.95","1,434.00","1,415.00","4.99M","0.40%"
"04/06/2023","1,421.90","1,416.00","1,428.40","1,410.35","6.95M","-0.12%"
"04/05/2023","1,423.55","1,400.00","1,427.50","1,400.00","7.51M","0.90%"
"04/03/2023","1,410.85","1,435.00","1,435.00","1,405.15","5.24M","-1.20%"
"03/31/2023","1,427.95","1,404.00","1,429.95","1,393.90","8.71M","3.21%"
"03/29/2023","1,383.55","1,379.00","1,389.90","1,364.55","8.81M","0.43%"
"03/28/2023","1,377.60","1,392.10","1,398.00","1,375.85","6.63M","-0.82%"
"03/27/2023","1,388.95","1,386.25","1,395.75","1,374.10","4.17M","0.60%"
"03/24/2023","1,380.65","1,388.00","1,398.95","1,377.50","7.56M","0.44%"
"03/23/2023","1,374.55","1,383.95","1,383.95","1,370.00","7.61M","-1.06%"
"03/22/2023","1,389.25","1,403.00","1,407.25","1,382.15","8.36M","-0.10%"
"03/21/2023","1,390.70","1,399.00","1,405.00","1,390.00","8.54M","-0.92%"
"03/20/2023","1,403.65","1,419.70","1,419.70","1,384.85","8.22M","-1.20%"
"03/17/2023","1,420.70","1,430.00","1,442.90","1,411.40","9.09M","1.18%"
"03/16/2023","1,404.10","1,417.80","1,417.80","1,398.70","7.32M","-1.10%"
"03/15/2023","1,419.65","1,438.00","1,442.85","1,416.85","7.56M","-0.02%"
"03/14/2023","1,420.00","1,441.00","1,448.35","1,411.00","7.40M","-1.05%"
"03/13/2023","1,435.10","1,464.20","1,478.30","1,428.00","8.80M","-2.48%"
"03/10/2023","1,471.55","1,460.00","1,474.30","1,457.65","3.70M","-0.60%"
"03/09/2023","1,480.40","1,495.00","1,498.35","1,474.60","5.10M","-0.82%"
"03/08/2023","1,492.70","1,490.55","1,496.00","1,481.10","4.14M","-0.98%"
"03/06/2023","1,507.45","1,494.55","1,520.40","1,493.15","6.56M","1.90%"
"03/03/2023","1,479.30","1,486.75","1,489.80","1,473.00","4.62M","0.49%"
"03/02/2023","1,472.15","1,485.00","1,488.60","1,467.30","4.64M","-1.60%"
"03/01/2023","1,496.05","1,492.40","1,500.85","1,481.50","5.13M","0.57%"
"02/28/2023","1,487.55","1,515.60","1,524.00","1,481.30","9.68M","-1.44%"
"02/27/2023","1,509.30","1,540.00","1,540.00","1,502.00","4.92M","-2.67%"
"02/24/2023","1,550.65","1,560.00","1,569.00","1,545.00","2.79M","0.00%"
"02/23/2023","1,550.70","1,569.85","1,569.85","1,548.15","4.77M","-0.71%"
"02/22/2023","1,561.80","1,563.00","1,575.00","1,555.30","3.66M","-1.12%"
"02/21/2023","1,579.50","1,598.70","1,601.65","1,576.00","2.72M","-0.81%"
